0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,k,h,a,n,d,w,a,",",r,a,t,l,a,m,",",b,u,r,h,a,n,p,u,r,",",k,h,a,n,d,w,a,","
,,,,,,,,,,,,,,,,,,,,,,,,,,g,u,n,a,",",r,a,t,l,a,m,",",d,e,w,a,s,",",k,a,t,n,i,",",d,e,w,a,s,",",g,u,n,a
,,,,,r,i,",",i,n,d,o,r,e,",",g,w,a,l,i,o,r,",",i,n,d,o,r,e,",",r,a,t,l,a,m,",",m,o,r,e,n,a,",",k,h,a,n,d,w,a,",",r,e,w,a,",",j,a,b
,,,,,,,,,,,,,,,,e,",",s,a,t,n,a,",",k,h,a,n,d,w,a,",",s,h,i,v,p,u,r,i,",",b,h,o,p,a,l,",",k,a,t,n,i,",",g,w,a,l,i,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,e,w,a,",",s,a,t,n,a,",",k,h,a,n,d,w,a,",",b,u,r,h,a,n,p,u,r,",",m
,,,",",i,n,d,o,r,e,",",r,e,w,a,",",s,h,i,v,p,u,r,i,",",s,a,g,a,r,",",k,h,a,n,d,w,a,",",s,a,g,a,r,",",s,a,g,a,r,",",g,u,n,a,",",g,w,a,l
,,,",",s,i,n,g,r,a,u,l,i,",",s,i,n,g,r,a,u,l,i,",",b,u,r,h,a,n,p,u,r,",",i,n,d,o,r,e,",",u,j,j,a,i,n,",",u,j,j,a,i,n,",",s,h,i,v,p
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,h,i,v,p,u,r,i
,,,,,,,,,,,,,,,,,,,,,,,,l,i,",",r,a,t,l,a,m,",",b,h,i,n,d,",",i,n,d,o,r,e,",",i,n,d,o,r,e,",",i,n,d,o,r,e
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,w,a,l,i,o,r,",",b,h,o,p,a,l,",",r
,,,,,,,,,,,,,,,,,,,,,n,p,u,r,",",s,a,t,n,a,",",i,n,d,o,r,e,",",d,e,w,a,s,",",k,a,t,n,i,",",b,h,i,n,d,",",k,a,t
,,,,,,,,,,,,,,,,,,,,,,,g,w,a,l,i,o,r,",",k,a,t,n,i,",",k,a,t,n,i,",",k,h,a,n,d,w,a,",",k,h,a,n,d,w,a,",",b
,,,,,,,,,,,,,,,,j,a,b,a,l,p,u,r,",",b,h,i,n,d,",",d,e,w,a,s,",",s,a,t,n,a,",",m,o,r,e,n,a,",",m,o,r,e,n,a,",",u,j,j
,,,,,r,e,w,a,",",r,a,t,l,a,m,",",s,i,n,g,r,a,u,l,i,",",b,h,o,p,a,l,",",b,h,i,n,d,",",i,n,d,o,r,e,",",g,u,n,a,",",b,h,o,p,a,l,",",m
,,,,,,,,,,,,,,,,,,,,,,l,i,o,r,",",b,u,r,h,a,n,p,u,r,",",d,e,w,a,s,",",k,h,a,n,d,w,a,",",d,e,w,a,s,",",s,h,i
,,,,,,,e,n,a,",",k,h,a,n,d,w,a,",",b,h,o,p,a,l,",",s,i,n,g,r,a,u,l,i,",",k,a,t,n,i,",",g,u,n,a,",",d,e,w,a,s,",",b,u,r,h,a,n,p
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,a,t
,,,,,,,r,a,t,l,a,m,",",k,h,a,n,d,w,a,",",s,i,n,g,r,a,u,l,i,",",b,u,r,h,a,n,p,u,r,",",s,i,n,g,r,a,u,l,i,",",g,w,a,l,i,o,r,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,a,t,n,i,",",g,w,a,l,i,o,r,",",r,a,t,l,a,m,",",i,n,d,o,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,e,w,a,",",g,u,n,a,",",g,w,a,l,i,o,r,",",r,e,w,a,",",k,h
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,i,n,d,o,r,e,",",r,a,t,l,a,m,",",g,w,a,l,i,o,r,",",k,a,t,n,i
,,n,p,u,r,",",k,h,a,n,d,w,a,",",b,h,i,n,d,",",r,e,w,a,",",b,h,i,n,d,",",j,a,b,a,l,p,u,r,",",s,h,i,v,p,u,r,i,",",g,w,a,l,i,o,r,",",g,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,e,w
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,h,i,n,d,",",m,o,r,e,n,a,",",g,w,a,l,i,o,r,",",s,h,i,v,p,u,r,i,",",s,a,g,a,r,",",k,a,t,n,i,",",d,e,w,a,s,",",i,n,d,o,r,e,",",b,h,o
,,,,,,,u,l,i,",",s,h,i,v,p,u,r,i,",",s,a,t,n,a,",",g,w,a,l,i,o,r,",",b,h,o,p,a,l,",",k,h,a,n,d,w,a,",",d,e,w,a,s,",",i,n,d,o,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,r,e,n,a,",",b,u,r,h,a,n,p,u,r,",",g,w,a,l,i,o,r,",",b,u,r,h,a,n,p,u,r,",",g,w
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,r,e,n,a,",",m,o,r,e,n,a,",",b,u,r,h,a,n,p,u,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,t,n,a,",",k,a,t,n,i,",",b,u,r,h,a,n,p,u,r,",",b,h,o,p,a,l,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,e,w
,,,,,,,a,s,",",s,a,g,a,r,",",i,n,d,o,r,e,",",j,a,b,a,l,p,u,r,",",k,h,a,n,d,w,a,",",j,a,b,a,l,p,u,r,",",g,w,a,l,i,o,r,",",g,u,n
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,e,w
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,m,o,r,e,n,a,",",b,u,r,h,a,n,p,u,r,",",d,e,w,a,s,",",m,o,r,e,n,a,",",g,w,a,l,i,o,r,",",i,n
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,g,a,r,",",s,a,t,n,a,",",s,a,t,n,a,",",j,a,b,a,l,p,u,r,","
,,,,,,,,,,,,,,w,a,s,",",b,u,r,h,a,n,p,u,r,",",g,u,n,a,",",d,e,w,a,s,",",s,a,t,n,a,",",g,u,n,a,",",s,i,n,g,r,a,u,l,i,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,g,a,r,",",s,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,h,i,v,p,u,r,i,",",g,w,a,l,i,o,r,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,a,t,n,i,",",s,h,i,v,p,u,r,i,",",r,a,t,l,a,m,",",s,i,n,g,r,a
,,,,,,,,,,,,,,,,,,,,b,h,i,n,d,",",k,a,t,n,i,",",s,i,n,g,r,a,u,l,i,",",g,w,a,l,i,o,r,",",d,e,w,a,s,",",j,a,b,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,j,a,b,a,l,p,u,r,",",s,a,g,a,r,",",s,a,t,n,a,",",s,a,g,a,r,",",s,i,n,g,r,a,u,l,i,",",g,w,a,l,i
,,,,,,,,,,,,,,,,,,,,,,,,,",",k,h,a,n,d,w,a,",",d,e,w,a,s,",",i,n,d,o,r,e,",",s,i,n,g,r,a,u,l,i,",",g,w,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,u,r,h,a,n,p
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,h,o,p,a,l,",",b,h,i,n,d,",",d,e,w,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,a,t,n,i,",",b,h,i
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,e,w,a,",",d,e,w,a,s,",",r,e
,,,,,,,,u,j,j,a,i,n,",",d,e,w,a,s,",",s,a,g,a,r,",",d,e,w,a,s,",",r,a,t,l,a,m,",",b,h,o,p,a,l,",",k,a,t,n,i,",",j,a,b,a,l,p,u
,,,,,,,,,,,b,h,o,p,a,l,",",s,h,i,v,p,u,r,i,",",r,e,w,a,",",b,h,i,n,d,",",d,e,w,a,s,",",s,i,n,g,r,a,u,l,i,",",b,u,r,h,a,n
,,,,,,,,,,,,,,,,,,,,,b,a,l,p,u,r,",",s,h,i,v,p,u,r,i,",",s,i,n,g,r,a,u,l,i,",",s,a,g,a,r,",",j,a,b,a,l,p,u
,,,,,,,,,,d,w,a,",",r,a,t,l,a,m,",",s,a,g,a,r,",",i,n,d,o,r,e,",",s,i,n,g,r,a,u,l,i,",",r,e,w,a,",",i,n,d,o,r,e,",",d,e,w,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,b,a,l,p,u,r,",",s,a,g,a,r,",",k,a,t,n,i,",",s,a,g,a,r,",",m,o,r,e,n,a,",",g,u,n,a,",",b,u,r,h,a,n,p,u,r,",",g,w,a,l,i
,n,i,",",b,u,r,h,a,n,p,u,r,",",s,h,i,v,p,u,r,i,",",r,e,w,a,",",s,h,i,v,p,u,r,i,",",b,h,o,p,a,l,",",r,e,w,a,",",r,a,t,l,a,m,",",d,e,w,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,h,o,p,a,l,",",g,w,a,l,i,o,r,",",k,a,t,n,i,",",r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,h,a,n,d,w,a,",",j
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,r,e,n,a,",",b,h,i,n,d,",",i,n,d,o,r
,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,r,e,n,a,",",r,a,t,l,a,m,",",k,h,a,n,d,w,a,",",k,a,t,n,i,",",g,u,n,a,",",s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,t,n,a,",",i,n,d,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,l,a,m,",",s,i,n,g,r,a,u,l,i,",",u,j,j,a,i,n,",",g,u,n,a,",",u,j,j,a,i,n
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,e,w,a,s,",",m,o,r,e,n,a,",",g,u,n,a,",",u,j,j,a,i
,,,,,,,,,,,,,,,,,,,j,a,i,n,",",b,h,i,n,d,",",k,a,t,n,i,",",s,a,t,n,a,",",m,o,r,e,n,a,",",s,a,g,a,r,",",u,j,j,a,i
,,,,,,,,,,,,,,,,,,,,,a,m,",",b,u,r,h,a,n,p,u,r,",",k,a,t,n,i,",",s,i,n,g,r,a,u,l,i,",",b,u,r,h,a,n,p,u,r,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o,r,e,",",g,u,n,a,",",g,w,a,l,i,o,r,",",i,n,d,o,r,e,",",s,i,n,g,r,a,u
,,,,,,,,,,,,,,,,,,,,r,",",k,a,t,n,i,",",g,w,a,l,i,o,r,",",r,a,t,l,a,m,",",u,j,j,a,i,n,",",b,h,i,n,d,",",s,a,t,n
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,e,w,a,",",g,u,n,a,",",g,u,n,a,",",r,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,r,e,n,a,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r,e,w,a,",",j,a,b,a,l,p,u,r,",",d,e,w,a,s,",",k,h,a,n,d,w,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,b,h,o,p,a,l,",",u,j,j,a,i,n,",",b,u,r,h,a,n,p,u,r,",",s,a,t,n,a,",",i,n,d,o,r,e,",",r,a,t
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,u,n,a,",",d,e,w,a,s,",",s,a
,,,,,,,,,,,,,,,,,,,,,,,s,a,t,n,a,",",k,h,a,n,d,w,a,",",s,a,t,n,a,",",m,o,r,e,n,a,",",k,a,t,n,i,",",k,h,a,n
,,,,,,,,,,,,,,,,s,h,i,v,p,u,r,i,",",b,h,o,p,a,l,",",s,i,n,g,r,a,u,l,i,",",r,a,t,l,a,m,",",j,a,b,a,l,p,u,r,",",b,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,e,w,a,s,",",s,a,g,a,r,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,o,r,",",r,a,t,l,a,m,",",u,j,j,a,i,n,",",r,a,t,l,a,m,",",b,h,i,n,d,",",g,u,n
,,,,,,,,,,,,,,,,,,,,,,,,,p,u,r,",",k,a,t,n,i,",",r,a,t,l,a,m,",",s,h,i,v,p,u,r,i,",",s,a,t,n,a,",",j,a,b
,,,,,,,,,,,,,,,,,,,j,a,i,n,",",j,a,b,a,l,p,u,r,",",m,o,r,e,n,a,",",s,a,g,a,r,",",i,n,d,o,r,e,",",b,h,i,n,d,",",r
,,,,,,,,,,,,,,,,,,,,p,u,r,",",i,n,d,o,r,e,",",g,u,n,a,",",k,h,a,n,d,w,a,",",s,a,g,a,r,",",m,o,r,e,n,a,",",s,h,i
,,,,,,,,,,,,,,,,,,,,s,i,n,g,r,a,u,l,i,",",s,h,i,v,p,u,r,i,",",s,a,g,a,r,",",b,u,r,h,a,n,p,u,r,",",i,n,d,o,r
,w,a,",",g,w,a,l,i,o,r,",",r,e,w,a,",",b,h,i,n,d,",",u,j,j,a,i,n,",",k,h,a,n,d,w,a,",",b,h,i,n,d,",",g,u,n,a,",",b,h,o,p,a,l,",",d,e,w,a
,,,,,,,,,,,,,,,,,l,",",s,i,n,g,r,a,u,l,i,",",m,o,r,e,n,a,",",s,h,i,v,p,u,r,i,",",s,i,n,g,r,a,u,l,i,",",s,a,t,n,a
,,,,,,,,,,,,,,,,,,,,,,,,a,l,i,o,r,",",r,e,w,a,",",u,j,j,a,i,n,",",s,a,g,a,r,",",g,u,n,a,",",b,u,r,h,a,n,p
,,,,,,,,,,,,,,,,,,,,b,u,r,h,a,n,p,u,r,",",s,a,g,a,r,",",m,o,r,e,n,a,",",r,e,w,a,",",u,j,j,a,i,n,",",u,j,j,a,i
,,,,,,,,,,,,,,,,k,h,a,n,d,w,a,",",u,j,j,a,i,n,",",b,u,r,h,a,n,p,u,r,",",r,a,t,l,a,m,",",r,e,w,a,",",r,e,w,a,",",g,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,t,n,a,",",u,j,j,a
,e,",",u,j,j,a,i,n,",",d,e,w,a,s,",",b,h,o,p,a,l,",",s,a,t,n,a,",",u,j,j,a,i,n,",",j,a,b,a,l,p,u,r,",",i,n,d,o,r,e,",",b,u,r,h,a,n,p,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,i,n,d,o,r,e,",",r,a,t,l,a,m,",",i,n,d,o,r,e,",",s,a,t,n,a,",",s,i,n,g,r,a,u,l,i,",",g,u,n,a,",",b,u,r,h,a,n,p
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,a,t,n,i,",",j,a,b,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,h,i,n,d,",",j,a,b,a,l,p,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,w,a,l,i,o,r,",",r,e,w,a,",",b,h,i,n,d,",",g,w,a
,,,,,,,,,,,,,,,,,,,,,,g,u,n,a,",",g,w,a,l,i,o,r,",",s,a,t,n,a,",",i,n,d,o,r,e,",",s,i,n,g,r,a,u,l,i,",",g,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,u,n,a,",",m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,u,r,h,a,n,p,u,r,",",k,h,a,n
